"region","population"
"2184 Hudiksvall",36829
"2260 Ånge",9548
"2262 Timrå",18062
"2280 Härnösand",24509
"2281 Sundsvall",96978
"2282 Kramfors",18450
"2283 Sollefteå",19623
"2284 Örnsköldsvik",54986
"2303 Ragunda",5458
"2305 Bräcke",6559
"2309 Krokom",14643
"2313 Strömsund",11984
"2321 Åre",10420
"2326 Berg",7160
"2361 Härjedalen",10281
"2380 Östersund",59956
"2401 Nordmaling",7006
"2403 Bjurholm",2436
"2404 Vindeln",5344
"2409 Robertsfors",6738
"2417 Norsjö",4175
"2418 Malå",3155
"2421 Storuman",5954
"2422 Sorsele",2595
"2425 Dorotea",2757
"2460 Vännäs",8583
"2462 Vilhelmina",6887
"2463 Åsele",2875
"2480 Umeå",118349
"2481 Lycksele",12270
"2482 Skellefteå",71988
"2505 Arvidsjaur",6471
"2506 Arjeplog",2980
"2510 Jokkmokk",5066
"2513 Överkalix",3436
"2514 Kalix",16387
"2518 Övertorneå",4709
"2521 Pajala",6299
"2523 Gällivare",18339
"2560 Älvsbyn",8168
"2580 Luleå",75383
"2581 Piteå",41278
"2582 Boden",27838
"2583 Haparanda",9886
"2584 Kiruna",23196
